sha,date,chrome,firefox,safari
78c1544715,2019-02-03,26121.79196982458,23927.376499951806,20170.33289128987
18c828feb8,2019-02-04,26121.99196982458,23927.105071380374,20174.116198123018
8f48bdf110,2019-02-05,26121.591886421746,23933.296913721708,20178.434107581223
3bbb55915a,2019-04-02,26737.039862148547,24752.412006458893,20459.29061357611
adc473fd8f,2019-04-03,26734.435663706525,24756.643454423014,20455.4081764923
b8669365b8,2019-04-04,26731.765929916746,24756.03562381803,20447.75060632603
055bf24447,2019-04-05,26733.277453115767,24756.908585533733,20456.524418686124
4688078c2c,2019-04-06,26736.987993031482,24754.046723686217,20460.864108543512
923923a01f,2019-04-07,26737.83050067674,24755.23541142257,20452.744809723066
2221fe343f,2019-04-08,26738.34577845452,24754.080287017237,20469.735315038346
72e71b28b6,2019-04-09,26742.504265529777,24759.012203657352,20510.19360210942
38f02ed8bb,2019-04-10,26738.431168256677,24756.382167027314,20512.23422028329
204c508cf5,2019-04-11,26738.24352349403,24761.043296220698,20511.690512368405
386d27678c,2019-04-12,26745.617912993424,24760.69958437699,20516.754339531522
33385dab3a,2019-04-13,26746.23497648549,24760.20377319892,20517.556524907486
3efff9b2d6,2019-04-14,26745.144225569737,24760.576094104654,20514.374318759914
1a9adfc150,2019-04-15,26648.030709306986,24803.132556764645,20685.39841340539
fd0429f0b4,2019-04-16,26750.31719755602,24765.698069366023,20518.16865189018
85e8612e81,2019-04-17,26751.560759549586,24772.180554891253,20519.237503958393
20424e735a,2019-04-18,26712.81127410887,24735.17494355192,20488.607837346066
4657e10253,2019-04-19,26654.965533003622,24810.46913051024,20694.422061786878
4657e10253,2019-04-20,26753.56093171952,24777.23449048647,20522.408519537163
1e92c65f6c,2019-04-21,26755.199137142583,24776.763591080668,20524.834574457822
8f35eec39a,2019-04-22,26755.087115306324,24775.901668859413,20525.034703123965
83d93704f0,2019-04-23,26662.527521149437,24808.473332970214,20531.517429493088
7a7e16ad8d,2019-04-24,26884.84181866186,24782.76311504386,20702.80112690856
