sha,date,chrome,firefox,safari
5303a4e841,2019-06-20,28694.538955376767,25991.424389576383,20352.749567565123
3cb5a99e55,2019-06-22,28715.68289480295,25999.809804392295,20357.114691177496
e58f6806fe,2019-06-24,28726.52327941834,26020.480992104527,20361.947426707284
5059d2c777,2019-06-25,28736.171609638917,26027.569737837628,20365.99539848859
88bac6b712,2019-06-26,28745.15776822726,26026.72370609159,20367.048197043616
ef77ba9ca4,2019-08-23,29248.272497246995,26787.095024004324,21674.04249873557
3bac98b37f,2019-08-24,29254.661632958378,26790.9728017821,21673.931635970483
6933aa6626,2019-08-25,29237.827858552355,26802.164865274164,21676.037638915324
552bd3bf8b,2019-08-26,29230.99782192232,26809.80506021534,21683.897044689358
49b0aca116,2019-08-27,29607.717436011146,26821.646247917914,21530.41607802151
0a80ac883b,2019-08-28,29625.513795155017,26849.774900378234,21729.624878899325
dce52f4c2f,2019-08-29,29613.872402520985,26853.53019197494,21731.127993322556
fb9b5a1d81,2019-08-30,29565.076238051915,26837.42005483577,21728.368354427803
8509904597,2019-08-31,29542.287218769314,26880.39396933083,21759.45062833363
629e3ba6a9,2019-09-01,29539.903970383304,26877.724128060996,21760.059247206675
c05529a9df,2019-09-02,29543.50014611974,26875.412259374127,21760.222235433957
e118216e53,2019-09-03,29539.32646383205,26883.990009401874,21770.666042295747
4490750ec4,2019-09-04,29543.953058105362,26886.378545998075,21758.214468077378
ea477214a4,2019-09-05,29807.460810085235,27175.12422405932,21929.471240293507
ff403bcc13,2019-09-06,29819.37788873613,27163.835615782515,21933.237808852988
756a676d64,2019-09-07,29817.360807995494,27173.215558741576,21935.50872264144
35e1951893,2019-09-09,29823.99960581844,27172.68507059609,21937.35063950021
73837c92a6,2019-09-10,29827.51296560681,27167.772640406132,21678.812052104033
e2498db8b0,2019-09-11,29822.11342194201,27179.762150278297,21934.783966292463
b3a1b49e4b,2019-09-12,29841.89262848396,27193.482074191725,21938.641319588736
1719e88c8b,2019-09-13,29845.465601456934,27194.878825891243,21942.279937653762
bf42dca1ce,2019-09-14,29848.85571134704,27201.22882589125,21941.485484963952
6fd5e1e086,2019-09-15,29836.569386560714,27200.364937002356,21943.239009064717
149354218b,2019-09-16,29857.71757610414,27228.930413192833,21965.37199290046
9b5a07c757,2019-09-17,29851.604305071043,27275.493023575295,21973.477473277853
d473076149,2019-09-18,29898.950366602785,27276.049027721587,21976.326485211783
59d5350b14,2019-09-19,29897.86941229244,27363.350277153975,21983.35366615317
95e65dd9b0,2019-09-20,29901.8078738309,27381.065826917187,21996.736205835707
42b4a3fa60,2019-09-21,29903.184796907823,27388.226938028303,21989.907594401917
e2f106dd72,2019-09-22,29914.211037062003,27393.676938028304,21997.68303855512
086bc41857,2019-09-23,29920.10419402447,27392.544815078785,22004.231326995076
3bff4fcbad,2019-09-24,29936.423479471683,27427.249401313125,21989.638145908943
c3c56f5ba3,2019-09-27,29956.103765264565,27470.45189257872,22010.73601602764
68abc3a55e,2019-09-29,29966.841675452793,27477.93997189071,22014.394667735007
563a1ecea1,2019-09-30,29970.577757917985,27482.730442151566,22017.592608232826
f1e1bd6bfa,2019-10-01,29972.340961958205,27494.676473897594,22016.390624105847
4786b73875,2019-10-02,29985.02623517123,27507.274886596006,22028.934405630134
29dca2c036,2019-10-03,29985.06255403211,27491.613356728776,22029.84110470368
f4483de684,2019-10-04,29993.992022505347,27507.00079351513,22035.215662184688
6c1b9ea175,2019-10-05,29994.2790393405,27518.929567459876,22039.419091629854
2ae499f937,2019-10-07,31081.358099169564,27926.287564076007,22419.565179092893
6e56893172,2019-10-08,31081.115875576834,27924.23651468155,22425.322762867145
4c1bbd4b27,2019-10-09,31085.536388397344,27960.60741614118,22426.428757367594
a879756282,2019-10-10,31081.302968419866,27968.87303652876,22426.856221334674
8c525ef0c1,2019-10-11,31084.698626151152,27977.000956415082,22427.419317801512
0ab72f38a0,2019-10-12,31045.730035992714,28002.90730562143,22433.987178180458
f934e6289f,2019-10-13,31043.30521051581,27994.807305621427,22431.889160611605
c7abd94317,2019-10-14,31055.949043397482,28014.26632963852,22443.271262270187
47f50fdf18,2019-10-15,31077.688701755003,28028.056866249248,22452.97229813908
5afa7f6c33,2019-10-16,31099.94286491211,28047.962249834552,22467.358048499835
776c49d09c,2019-10-17,31104.7556418945,28062.82455521923,22813.539996018877
1153db2f81,2019-10-18,31104.375696453513,28061.945629891863,22849.022981417602
fbc0925b2a,2019-10-19,31108.48500751282,28059.287005183236,22855.14584466314
02fae42fbd,2019-10-20,31116.999565255843,28084.109657005098,22861.524998895864
9c6848c2e4,2019-10-21,31115.815234354737,28077.842376825483,22865.452130000624
2f293bc9a0,2019-10-22,31283.53321874959,28086.416579046916,22866.708044586627
f87822f99f,2019-10-23,31317.78922754987,28083.249912380248,22920.036171876913
511fea02e7,2019-10-24,31316.518801869883,28085.340334458167,22902.874302388376
b1e94422f8,2019-10-25,31316.012272347794,28080.723843808126,22905.47701754033
f80d75c4b8,2019-10-26,31318.503297988827,28092.87939936368,22906.913364196822
1092d667b0,2019-10-27,31320.73919542472,28094.700927141457,22907.425316286524
76589cc94f,2019-10-28,31322.232785168308,28101.792593808124,22904.375536147105
efe71da088,2019-10-29,31330.200728173568,28108.385548030652,22914.36082842198
86dc5375ae,2019-10-30,31332.280354996576,28101.35127657432,22933.850643387934
dd8b3c711e,2019-10-31,31571.02361417266,28115.445067064175,22929.292021082987
e86dd95bfe,2019-11-01,31591.093433179172,28101.549108232706,22930.290420635465
d4a7c5c8ff,2019-11-02,31591.141760492945,28096.314399712737,22927.47027685273
b3a2d4f7f5,2019-11-03,31592.412510745446,28109.854981699697,22929.3753556141
d9b281edc4,2019-11-04,31589.236911616907,28108.6049816997,22929.384508478142
cdeed2384b,2019-11-05,31595.874672686245,28123.697190185656,22928.46496846896
2d18475e25,2019-11-06,31634.09106427678,28112.745802915524,22937.369469523463
bd66eaf473,2019-11-07,31658.312638941123,28154.020728866766,22943.246923683557
186457c2f6,2019-11-08,31689.240006239244,28171.766948843204,22949.42905871519
70fdd27f4c,2019-11-09,31752.075288725064,28176.937056063285,22956.42329638357
dfb9b28271,2019-11-11,31751.58464526874,28174.586616106724,22954.131486208214
29675aba09,2019-11-12,31758.162415592764,28180.815713096683,22960.218117785098
ea8f87db32,2019-11-13,31762.558239269714,28188.0890967598,22963.977164503354
3292bf3e2b,2019-11-14,31766.481354879594,28195.078635220965,22964.706960779666
b01952269e,2019-11-15,31774.319976725226,28226.132340161043,22967.630935612226
89aa3f4213,2019-11-16,31772.682476725233,28233.948115562114,22970.1624342173
fb96a45f85,2019-11-17,31780.89438148713,28258.067738774436,22976.059361723823
ee893908a2,2019-11-18,31509.53588893854,28251.557077281454,22979.074414004208
cfcdb31e6f,2019-11-19,31748.488549965714,28262.789204144956,22982.689487014788
5d71a0085e,2019-11-20,31776.002251337613,28255.890913964424,22983.476744529118
d3d50312c5,2019-11-21,31791.1314438842,28255.2819791579,22985.374552923626
e3376d24eb,2019-11-22,31807.102384919606,28276.216835093433,23003.172439331098
0c3a6b1df6,2019-11-23,31805.143731073455,28292.550168426766,22998.781478683555
29cfeaf1ea,2019-11-25,31821.607835371557,28402.876509422935,23003.978946114992
0b93a71f27,2019-11-26,31772.15930595979,28425.339117741114,23027.283925615713
b980ca9454,2019-11-27,31774.487179523006,28428.22355538821,23028.786150185057
22393de8e6,2019-11-28,31780.641346189674,28429.66678971164,23031.448102274757
995900fc62,2019-11-29,31791.964869396426,28437.43109198839,23043.137510749748
561b765308,2019-11-30,31790.66070272976,28427.865992978488,23044.226460115005
923cb3c2e3,2019-12-02,31796.398797967857,28457.828135442734,23050.205033818955
9e9653f278,2019-12-03,31617.05339614981,28449.536494899367,23032.62040309148
a72f7784be,2019-12-04,31608.120018601716,28457.23059628493,23039.39650154822
87ad8c3186,2019-12-05,31612.08586587835,28472.644940013328,23043.58734136319
8f704cc3b3,2019-12-06,31613.676259967026,28470.66789342936,23042.956160206475
091fc5233a,2019-12-07,31615.042331395598,28470.927436883707,23046.326303646114
445af40713,2019-12-08,31611.14768853845,28476.298448984915,23045.002636105706
cfa7532fc6,2019-12-09,31615.222153988405,28480.138547994815,23050.471672471987
622d7254cb,2019-12-10,31604.625143043602,28480.693823076475,23041.93473037412
d09c77af12,2019-12-11,31591.057240113205,28525.287330637908,23042.35735710771
178762b6fc,2019-12-12,31625.25190490327,28518.7119656313,23043.992068720036
18b9f8da25,2019-12-13,31581.886615856616,28492.457657179202,23013.126521095168
5e5a9f523a,2019-12-14,31592.49398765149,28492.600533966888,23009.845500640226
361a62ec8c,2019-12-15,31592.26124955625,28481.957657179206,23015.14631503722
80b2a8f11a,2019-12-16,31590.106713449084,28495.42121540702,23013.388199289297
455a12ebb9,2019-12-17,31585.278450516733,28553.84487850834,23017.44483341056
bf21d03497,2019-12-18,31586.91486581712,28565.380215613477,23023.456531489082
0ae74ec621,2019-12-19,31593.46486581712,28573.49695443022,23024.40964519495
c8158bdeea,2019-12-20,31810.237987577842,28686.6322358155,24441.619263364653
ba353b09d0,2019-12-21,31819.154654244514,28698.4671368056,24443.53971544061
b048002b01,2019-12-22,31817.95942003972,28701.869557047623,24440.058141000776
e936890351,2019-12-23,31818.594601796958,28702.787791371058,24447.39103464892
7ed322c313,2019-12-24,31820.011268463626,28710.81991458338,24445.718196574293
36507c8b6f,2019-12-25,31819.458177065775,27712.13901060535,24446.427344172735
fcbfea4e5d,2019-12-27,31836.734896179998,28722.54372410719,24449.853643734532
6e3355fddd,2019-12-30,31859.53072951333,28747.446706698076,24454.941591681498
fda9fa30b9,2019-12-31,31875.658568669784,28780.9120836822,24472.652733317635
8aacd823f2,2020-01-02,31879.271667798323,28810.705193091664,24478.32842295129
c5f090c0e7,2020-01-03,31880.817398056744,28811.7673990463,24480.27004027482
3e77495f7f,2020-01-04,31883.43161717097,28818.51583138953,24477.624407629562
e30880f334,2020-01-05,31886.6399505043,28832.74360916731,24482.210518740674
c9b91800ba,2020-01-06,31888.350432982297,28831.956032611903,24485.0624973241
f559f8bc4f,2020-01-07,32060.549175477056,28835.250277080842,24489.41240565456
57119ba2c3,2020-01-08,32083.940466865675,28850.93644805949,24489.00923139689
ef82683b68,2020-01-09,32180.030785753584,28875.726651422723,24598.27978901092
3d894444a8,2020-01-10,32182.557240483904,28877.033471191353,24607.413871725726
b1d8b4ac4d,2020-01-11,32186.34641797308,28879.82114995923,24604.236868479227
21b984ec52,2020-01-13,32189.561996480592,28886.492090130167,24612.28795289431
30b4a2b527,2020-01-14,32185.983511375856,28892.87846078613,24615.353214678536
2e46c94850,2020-01-15,32203.777391501917,28916.967872021043,24637.521831049035
99aa9f99e5,2020-01-16,32209.131558372435,28919.47553239064,24635.34754801615
b9607ef83f,2020-01-17,32251.046456394703,28925.798451622857,24644.415563028666
2f346208c2,2020-01-18,32253.93876408701,28937.1179931924,24647.0969046885
12d729aa10,2020-01-19,32254.268525991774,28938.663647757854,24647.467840443027
b3bb7d0e0a,2020-01-20,32252.97826106346,28939.708458592137,24648.94810724555
f305805369,2020-01-21,32256.118473443676,28943.449341354717,24655.817956066316
ef6f3f0302,2020-01-22,32273.929024087476,28962.072435224454,24653.918204134723
9940584f86,2020-01-23,33839.622986436036,30528.455263214717,25447.405722419262
8cc440c7bf,2020-01-24,33837.15694090749,30526.54661115035,25460.03102675817
b8251ea96a,2020-01-25,33845.97391691395,30533.780134269742,25463.093795219847
